"perceptual decision making" -- "attention"
"education" -- "equine surgery"
"education" -- "multilingual education"
"education" -- "adult education"
"education" -- "social stratification"
"education" -- "educational technology"
"education" -- "special needs"
"education" -- "disadvantage"
"heart valves" -- "cardiovascular mechanics"
"robust adaptive control" -- "multi-agent systems"
"analogue design" -- "bio-inspired algorithms"
"acoustofluidics" -- "microfluidics"
"acoustofluidics" -- "micro- nanofabrication"
"physical activity health" -- "healthy lifestyle"
"rasch measurement" -- "teacher knowledge"
"modified atmosphere packaging" -- "high pressure processing"
"hematopathology" -- "hematology"
"nonlinear control" -- "aerial robotics"
"nonlinear control" -- "distributed cooperative control"
"nonlinear control" -- "anti-windup"
"industrial microbiology" -- "biotechnology"
"historia del arte" -- "arquitectura"
"historia del arte" -- "historia del cine"
"historia del arte" -- "historia"
"translational bioinformatics" -- "allergy immunology"
"oesophageal cancer" -- "veterinary microbiology"
"latino" -- "first-generation college students"
"planar cell polarity" -- "developmental biology"
"traceability" -- "requirements engineering"
"oxidative stress" -- "ros"
"oxidative stress" -- "mechanistic toxicology"
"oxidative stress" -- "parasite biology"
"oxidative stress" -- "parp"
"oxidative stress" -- "nadph oxidase"
"indigenous" -- "mental health"
"indigenous" -- "aboriginal"
"territorio" -- "patrimonio culturale"
"international adoption" -- "ethnic minority mental health"
"environmental history" -- "history of science"
"environmental history" -- "agricultural history"
"environmental history" -- "world history"
"environmental history" -- "beaches"
"environmental history" -- "critical tourism studies"
"spatial statistics" -- "statistics of extremes"
"meshless methods" -- "finite element method"
"pi-conjugated molecules" -- "perovskite solar cells"
"optimal filtering" -- "control theory"
"frontiers" -- "borders"
"drug resistance" -- "new drug development"
"drug resistance" -- "peptidoglycan"
"drug resistance" -- "haematological malignancies"
"drug resistance" -- "cancer initiation"
"morphological processing" -- "psycholinguistics"
"resistance" -- "latency"
"translation" -- "shh signaling"
"oocyte" -- "embryo"
"autonomous navigation" -- "computer vision"
"dispute settlement" -- "international law"
"plasma engineering" -- "coatings"
"international corporate finance" -- "capitalism"
"enzyme kinetics" -- "molecular biology"
"algorithmic game theory" -- "foundations of cryptography"
"algorithmic game theory" -- "computational learning"
"algorithmic game theory" -- "approximation algorithms"
"psychopathy" -- "externalizing"
"psychopathy" -- "violence risk assessment"
"psychopathy" -- "personality"
"tumor immunology" -- "cancer biology"
"photonic materials" -- "electronics"
"multi-agent systems" -- "nonlinear control theory"
"stellar atmospheres" -- "solar corona"
"cultural economics" -- "political economy"
"operator algebras" -- "discrete groups"
"waqf" -- "social enterprise"
"fracture analysis" -- "fatigue"
"surgical simulation" -- "virtual reality"
"data provenance" -- "databases"
"information seeking" -- "information retrieval"
"plant production" -- "plant breeding"
"disc degeneration" -- "neurosurgery"
"polymer architecture" -- "polymer chemistry"
"local government law" -- "administrative law"
"military law" -- "criminal law"
"jogos de empresas" -- "pesquisa operacional"
"philosophy of mathematics" -- "frege"
"sphingolipids" -- "inositol"
"sphingolipids" -- "sphingosine 1-phosphate"
"farm power" -- "evolutionary algorithms"
"insomnia" -- "sleep"
"genocide" -- "sport ethics"
"genocide" -- "rwanda"
"genocide" -- "bosnia"
"wine" -- "microbiology"
"wine" -- "phenolic compounds"
"social innovation" -- "entrepreneurship"
"child protection" -- "family violence"
"temporal data" -- "spatial"
"perinatal psychology" -- "clinical psychology"
"variable stars" -- "reactor"
"space debris" -- "astrodynamics"
"brain signal processing" -- "adaptive filtering"
"service research" -- "services marketing"
"physiologie" -- "biologie"
"african" -- "international relations"
"random media" -- "stochastic processes"
"intrusion detection" -- "traffic classification"
"bone cell biology" -- "cell communication"
"cbse" -- "iot"
"public administration" -- "bureaucracy"
"public administration" -- "collaborative governance"
"software language engineering" -- "programming languages"
"embeddedness" -- "ireland"
"measurement science" -- "polymer physics"
"entrepreneurship education" -- "entrepreneurship"
"derecho de la información" -- "transparencia"
"derecho de la información" -- "justicia"
"workers compensation" -- "early identification"
"community of inquiry" -- "online learning environments"
"clinical social work" -- "foster care"
"iot security" -- "hardware security"
"wetland science" -- "coastal ecology"
"magnetic tweezers" -- "biophysics"
"muscle control" -- "pain"
"fusion" -- "laboratory astrophysics"
"colour image processing" -- "image analysis"
"speciation analysis" -- "analytical chemistry"
"biomassa" -- "energia"
"expert judgment" -- "value of information"
"information visualization" -- "visual analysis"
"information visualization" -- "visual data mining"
"information visualization" -- "large displays"
"smart grid applications" -- "power systems"
"cropping systems" -- "corn"
"ciências da saúde" -- "ciências biológicas"
"model-based software engineering" -- "requirements engineering"
"active tectonics" -- "tectonic geomorphology"
"ownership structure" -- "political connections"
"learning (sotl)" -- "scholarship of teaching"
"experimental evolution" -- "epistasis"
"experimental evolution" -- "population genetics"
"multitrait-multimethod analysis" -- "psychometrics"
"ciencia de materiales" -- "química"
"flow synthesis" -- "organic photodetectors"
"satellite cells" -- "skeletal muscle"
"finanças" -- "econometria aplicada"
"finanças" -- "agronegócio"
"point processes" -- "target tracking"
"organic single crystals" -- "organic semiconductors"
"ecosystem monitoring" -- "global change"
"seguridad vial" -- "percepción"
"virtual power plant" -- "power systems"
"galactic structure" -- "n-body simulations"
"plasmonic devices" -- "ionic liquids"
"capital intelectual" -- "controladoria"
"osint" -- "information retrieval"
"multidisciplinary" -- "collaborative working"
"fonoaudiologia" -- "neuropsicologia"
"functional thin films" -- "drug delivery systems"
"seabird conservation" -- "systematic conservation planning"
"ingeniería" -- "arquitectura"
"image understanding" -- "computer vision"
"sexual minority youth" -- "health disparities"
"quantum information theory" -- "quantum optics"
"immune engineering" -- "biomaterials"
"hadron therapy" -- "laser plasma interactions"
"coherent states" -- "quantum optics"
"communication theory" -- "information theory"
"weather radar" -- "phased array radar"
"pollination" -- "bumble bees"
"pollination" -- "floral evolution"
"biologia evolutiva" -- "etologia"
"epileptogenesis" -- "pediatric neurology"
"academic development" -- "student feedback"
"survey design" -- "social stratification"
"queuing" -- "healthcare"
"quantum gases" -- "bose-einstein condensation"
"cscl" -- "cscw"
"cscl" -- "tel"
"medieval art" -- "art history"
"language-based security" -- "programming languages"
"extractive industries" -- "resource conflict"
"traducción especializada" -- "didáctica de la traducción"
"traducción especializada" -- "lingüística aplicada"
"electro" -- "neurofeedback"
"metabolic bone disease" -- "biological anthropology"
"política de la educación" -- "historia de la educación"
"fpga" -- "dsp"
"fpga" -- "floating point"
"developmental paediatrics" -- "medical education"
"carrier selective contacts" -- "silicon solar cells"
"offshoring" -- "outsourcing"
"electronic ceramics" -- "ferroelectrics"
"sistemas de energia elétrica" -- "power systems"
"neurobiologia" -- "biochimica"
"mediated social interaction" -- "embodiment"
"laser material interaction" -- "applications"
"vehicle design" -- "product design"
"wellbore stability" -- "geomechanics"
"drug trafficking" -- "game theory"
"fisiologia cardiovascular" -- "neuroendocrinologia"
"electronics" -- "automotive electronics"
"electronics" -- "analog design"
"nitrogen biogeochemistry" -- "marine microbial ecology"
"genetics of adaptation" -- "life history theory"
"fonética" -- "prosódia"
"ecm" -- "integrins"
"drug design" -- "medicinal chemistry"
"organic thin films" -- "microspectroscopy"
"environmental physics" -- "radioactivity"
"video classification" -- "imaging"
"microelectronics packaging" -- "signal integrity"
"transformation" -- "partial discharge"
"transformation" -- "molecular biology"
"sociology of language" -- "sociolinguistics"
"electronic materials" -- "melanin"
"microscopy image analysis" -- "machine vision"
"microscopy image analysis" -- "cell models"
"neurology" -- "botulinum toxin"
"neurology" -- "dbs"
"neurology" -- "clinical neurophysiology"
"neurology" -- "neuromuscular disorders"
"neurology" -- "fragile x"
"neurology" -- "neuromuscular diseases"
"neurology" -- "neurocritical care"
"neurology" -- "stroke medicine"
"neurology" -- "personalized health"
"law reform" -- "comparative constitutional law"
"sensors actuators" -- "mems"
"materials analysis" -- "microscopy"
"rna structure" -- "rna-protein interactions"
"ethnic disparities" -- "racial"
"life-course criminology" -- "developmental"
"next generation sequencing analysis" -- "annotation"
"placebo" -- "pain"
"syntax-semantics interface" -- "syntactic theory"
"single molecule fret" -- "biophysics"
"collective memory" -- "social memory"
"collective memory" -- "historical consciousness"
"collective memory" -- "former yugoslavia"
"avaliação de desempenho" -- "custos"
"neutron" -- "x-ray scattering"
"contemporary theatre" -- "theatre"
"mating behavior" -- "lgbt"
"comunicazione" -- "patrimonio culturale"
"formal" -- "international trade"
"cnc" -- "machine tools"
"pressure swing adsorption" -- "solid oxide fuel cells"
"critical media literacy" -- "poetry"
"electoral reform" -- "political parties"
"electromagnetic waves" -- "biomolecules"
"finfet" -- "energy-efficient electronics"
"biodegradable polymers" -- "biomaterials"
"biodegradable polymers" -- "infectious"
"teledetección" -- "sig"
"teledetección" -- "sistemas de información geográfica"
"distributed systems security" -- "privacy"
"criminal law" -- "victims of crime"
"product lifecycle management" -- "product development"
"partial differential equations" -- "mathematical relativity"
"partial differential equations" -- "microlocal analysis"
"partial differential equations" -- "mathematical fluid dynamics"
"partial differential equations" -- "applied analysis"
"partial differential equations" -- "scattering theory"
"critical criminology" -- "crimes of the powerful"
"securities law" -- "trust law"
"securities law" -- "mercantil"
"design of mechanical systems" -- "energy"
"educação ambiental" -- "ensino de ciências"
"hazardous waste management" -- "solid"
"ensino de geociências" -- "ensino de ciências"
"forest hydrology" -- "ecohydrology"
"forest hydrology" -- "hillslope hydrology"
"forest hydrology" -- "diffuse pollution"
"cold-formed steel" -- "steel structures"
"cold-formed steel" -- "thin-walled structures"
"sustainable business" -- "economic impact"
"dialect" -- "sociolinguistics"
"plant population ecology" -- "alpine ecology"
"co2 concentrating mechanisms" -- "cyanobacteria"
"play" -- "humour"
"cell survival" -- "autophagy"
"escritura" -- "lectura"
"escritura" -- "dificultades de aprendizaje"
"game theory" -- "mathematical economics"
"game theory" -- "matching theory"
"game theory" -- "bargaining"
"game theory" -- "welfare economics"
"game theory" -- "decision theory"
"game theory" -- "social choice theory"
"game theory" -- "general equilibrium theory"
"game theory" -- "microeconomics"
"real-time fmri" -- "neurofeedback"
"portal hypertension" -- "nutrition"
